Maximum_length;Maximum_weight;Maximum_longevity;Rheophily;Limnophily;Long_migration;Potamodromy;Benthic;Water_column;Invertivory;Omnivory;Piscivory;Tolerance;Intolerance;Fusiform_shape;Elongated_form;Eel-like_form;Reproductive_span;Lithophily;Phytophily;Mean_fecundity;Maximum_fecundity;Egg_size;Parental_care;Age_maturity;Length_maturity;Single_spawning;Species;Database
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma arcasii;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Acipenser sturio;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alburnus alburnus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa alosa;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa fallax;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Ameiurus melas;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anguilla anguilla;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius iberus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina boyeri;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula barbatula;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus haasi;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus meridionalis;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Blicca bjoerkna;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius auratus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius gibelio;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis calderoni;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis paludica;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;1
108;;20;;;0;;1;0;0;1;0;;;;;;2;;;1122000;2000000;1.5;0;2;27.9;0;Cyprinus carpio;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;1
129.6;;24;;;0;;0;1;0;0;1;;;;;;0.8;;;32000;226000;2.8;0;3;40.1;1;Esox lucius;1
13;;1;;;0;;0;1;1;0;0;;;;;;6;;;150;300;2;0;1;3.8;0;Fundulus heteroclitus;1
5.9;;1;;;0;;0;1;1;0;0;;;;;;5;;;40;315;;1;0.3;3;0;Gambusia holbrooki;1
