Month;Year;ZM_River;ZM_Reservoir;QMean;QMax;Over_500;Over_750;Over_1000;Over_1250;Over_1500;Over_1750;Over_2000;Over_2250;Over_2500;Over_2750;Over_3000;Over_3250;Over_3500;FlowSup_CHE;Flow_CAT;FlowSup_TorAs;Alcalinity_CHE;Var118_CAT;Var119_CAT;Bicarbonate_CHE;Bicarbonate_CAT;Carbonates_CHE;Carbonates_CAT;DurTotal_CHE;DurTotal_CAT;DurCa_CAT;DurMg_CAT;DurPer_CAT;NH4_CHE;NH4_CAT;NH4_TorAs;AS_CHE;AS_CAT;Ca_CHE;Ca_CAT;CN_CHE;CN_CAT;Chloride_CHE;Chloride_CAT;Cu_CHE;Cu_CAT;Cr_CHE;Cr_CAT;ColFec_CHE;ColFec_CAT;ColTot_CHE;ColTot_CAT;StreptoFec_CHE;StreptoFec_CAT;Salmo_CHE;Salmo_CAT;Cond_CHE;Cond_CAT;DBO_CHE;DBO_CAT;Tenso_CHE;Tenso_CAT;Fluor_CHE;Fluor_CAT;Fosfor_CHE;Fosfor_TorAs;Fosfor_CAT;FosforTot_CHE;Fe_CHE;Fe_CAT;Mg_CHE;Mg_CAT;Mn_CHE;Mn_CAT;MES_CHE;MES_CAT;Hg_CHE;Hg_CAT;NO3_CHE;NO3_CAT;NO3_Hen;NO3_TorAs;NO2_CHE;NO2_CAT;NO2_Hen;NH4_Hen;P2O5_Hen;NKj_CHE;NKj_CAT;NKj_Hen;DIN_TorAs;DIP_TorAs;DINP_TorAs;O2Dis_CHE;O2Dis_CAT;O2Per_CHE;O2Per_CAT;pH_CHE;pH_CAT;Pb_CHE;Pb_CAT;K_CHE;K_CAT;SiO2_CHE;SiO2_CAT;SiO2_Hen;Se_CHE;Se_CAT;Na_CHE;Na_CAT;SO4_CHE;SO4_CAT;TempWat_CHE;TempWat_CAT;TempAir_CHE;TempAir_CAT;Tur_CAT;Tur_Hen;Zn_CHE;Zn_CAT;TOC_CAT;TOC_Hen;ChlTotal_Hen
1;1.980;0,00;0,00;481,59;740,50;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1.980;0,00;0,00;267,33;435,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1.980;0,00;0,00;299,30;660,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1.980;0,00;0,00;279,18;495,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1.980;0,00;0,00;413,47;1.101,60;12,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1.980;0,00;0,00;352,26;580,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1.980;0,00;0,00;179,90;309,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1.980;0,00;0,00;89,17;180,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1.980;0,00;0,00;182,35;309,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1.980;0,00;0,00;190,77;294,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;172,00;;;168,33;;;168,33;;0,00;;396,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.108,67;;3,63;;;;;;;;;;;;;;;;2,67;;;;;;;;;;;;;;;;;;;8,37;;98,10;;7,87;;;;;;;;;;;;;;;22,47;;22,90;;;;;;;;
