Name;Common_name;Stage;Group;Order;Family;Species;Lagoon;Year;Year2;Kgs
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1965-66;1965;6130,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1965-66;1965;14598,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1965-66;1965;1104,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1965-66;1965;8830,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1966-67;1966;8540,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1966-67;1966;16348,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1966-67;1966;1015,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1966-67;1966;10123,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1967-68;1967;9110,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1967-68;1967;22891,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1967-68;1967;1236,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1967-68;1967;12090,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1968-69;1968;15383,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1968-69;1968;19108,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1968-69;1968;1215,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1968-69;1968;16340,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1969-70;1969;25451,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1969-70;1969;30032,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1969-70;1969;1354,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1969-70;1969;25027,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1970-71;1970;26915,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1970-71;1970;45815,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1970-71;1970;5113,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1970-71;1970;24996,00
