Month;Year;Phytoplankton ;Diatoms ;Chl Total ;TOC;Turbidity ;SiO2;NO3;NO2;NH4;P2O5;N Kj. 
;;unit/ml;(cell/ml);(µg/L); (mg C/L);UNF;mg SiO2/L;mg NO3-/L;mg NO2-/L;mg NH4/L;mg P2O5/L;(mg N/L)
1;1989;;;;3,741787879;;6,44;15,60952381;0,294285714;0,21047619;;
2;1989;;;;1,425;;2,625;16,02105263;0,329473684;0,148421053;;
3;1989;;;;2,98;;3,825;15,5952381;0,44;0,192857143;;
4;1989;;;;2,92;;3,9;12,26;0,408;0,14;;
5;1989;;;;2,938174603;;4,32;14,95;0,322;0,198;;
6;1989;;;;3,207331217;;3,243333333;12,43333333;0,2;0,145;;
7;1989;;;;3,232111111;;3,2;11,1;0,0775;0,3;;
8;1989;;;;3,3;;;10,78;;0,037368421;;1,7
9;1989;;;;3,136842105;;;9,775;;0,022631579;;
10;1989;;;;3,146666667;;;9,18;;0,046;;
11;1989;;;;2,994444444;;;11,45;;0,059047619;;0,79
12;1989;;;;2,988888889;;;15,225;;0,062941176;;
1;1990;;;9,585;2,351818182;;;11,18;0,13;0,07;0,51;0,502857143
2;1990;;;33,09538462;3,79;;;13,225;;0,124117647;0,63;0,75
3;1990;;;49,77470588;3,254545455;;;10,4;;0,070454545;0,24;0,448571429
4;1990;;;36,516;2,989473684;;;9,9;;0,048421053;0,6;0,636923077
5;1990;;;43,86666667;4,114285714;;;11,8;;0,067272727;0,44;0,8
6;1990;;;49,497;3,161873016;;;12,525;;0,1335;0,7;0,116666667
7;1990;;;71,59615385;3,187916667;;;10,26;;0,061904762;0,25;0,637272727
8;1990;;;39,83125;3,468809524;;6,5;7,75;0,23;0,059545455;0,81;0,46
9;1990;;;76,75846154;4,12;;3,8;6,925;0,088156344;0,040526316;0,98;0,56
10;1990;;;37,85384615;4,240909091;;4,398461538;9,32;0,17;0,043636364;1,31;0,35
11;1990;;;27,46666667;3,527272727;;3,985;11,175;0,063615385;0,033809524;0,61;0,19
12;1990;;;17,11111111;5,1;;3,993472222;11,6;0,096549451;0,045294118;0,94;0,34
1;1991;;;10,09333333;3,7;;1,35;13,175;0,11;0,072727273;0,46;0,3
2;1991;;;26,10833333;4;;1,55;12,025;0,13;0,14;0,41;0,66
3;1991;;;35,10909091;5,378571429;;1,65;10,15;0,1125;0,1265;0,14;0,51
4;1991;;;19,69090909;3,7;;2,3;11,48;0,1;0,086666667;0,32;0,33
5;1991;;;16,7375;4,4;;3,24;14,475;0,12;0,142272727;0,36;0,16
6;1991;;;32,46;4,371428571;;1,95;11,625;0,075;0,058333333;0,38;0,34
7;1991;;;44,98;5,14375;;2,34;9,7;0,06;0,060454545;0,25;0,36
8;1991;;;44,77142857;5,2;;1,625;9,25;0,07;0,064285714;0,22;0,28
9;1991;;;28,9875;3,383333333;;1,88;8,1;0,122;0,096315789;0,44;0,33
10;1991;;;21,15555556;2,7;;2,775;11,925;0,1125;0,124782609;0,74;0,3
11;1991;;;10,6125;2,3;;2,1;14,225;0,08;0,118;0,28;1,38
12;1991;;;8,928571429;3;;3,1;12,82;0,11;0,122777778;0,17;0,36
1;1992;;;14,22857143;4,5;;3,766666667;13,45;0,093333333;0,102857143;0,3;0,65
2;1992;;;48,6875;4,8;;2,266666667;15,5;0,093333333;0,1;0,43;0,46
3;1992;;;31,26666667;4,3;;1,05;15,76;0,124;0,133333333;0,45;0,41
4;1992;;;38,65714286;5,5;;1,375;17,05;0,1225;0,129;0,17;0,92
5;1992;;;43,52857143;4,8;;2,075;14,975;0,135;0,104761905;0,19;0,43
6;1992;;;52,375;4,8;;3,64;10,94;0,088;0,097894737;0,31;0,15
7;1992;;;36,65;4,6;;1,45;9,7;0,0525;0,1;0,29;0,637272727
8;1992;;;54,61111111;4,5;;1,75;10,7;0,07;0,1;0,345;0,39
