Date;Day;Month;Year;Point_Label;Sampling_Point;Alcalinidad (mg/L CO3Ca);Amonio total (mg/L NH4);Bicarbonatos (mg/L CO3Ca);Calcio (mg/L Ca);Carbonatos (mg/L CO3Ca);Caudal en superficie (m3/s);Cloruros (mg/L Cl);Conductividad a 20 ºC (µS/cm);DBO5 (mg/L O2);Dureza total (mg/L CO3Ca);Fluoruros (mg/L F);Fosfatos (mg/L PO4);Fósforo Total (mg/L P);Magnesio (mg/L Mg);Materias en suspensión (mg/L);Nitratos (mg/L NO3);Nitritos (mg/L NO2);Nitrógeno Kjeldahl (mg/L N);Oxígeno disuelto (% sat.);Oxígeno disuelto (mg/L O2);pH;Potasio (mg/L K);Sílice (mg/L SiO2);Sodio (mg/L Na);Sulfatos (mg/L SO4);Temperatura del agua (ºC);Temperatura del aire (ºC);Turbidez (N.T.U.)
2/10/1980 12:00;2;10;1980;Ebro en Ribarroja;10;165,00;;165,00;;0,00;387,00;;1108,00;4,40;380,00;;;;;3,00;;;;71,50;6,10;7,70;;;;;22,10;20,10;
2/10/1980 13:00;2;10;1980;Ebro en Ascó;7;170,00;;170,00;;0,00;174,00;;1157,00;3,20;400,00;;;;;6,00;;;;84,40;7,20;7,80;;;;;22,00;21,00;
2/10/1980 14:00;2;10;1980;Ebro en Tortosa;2;170,00;;170,00;;0,00;168,00;;1026,00;4,10;395,00;;;;;1,00;;;;107,90;9,20;7,90;;;;;22,90;23,50;
2/10/1980 17:00;2;10;1980;Ebro en Xerta;4;165,00;;165,00;;0,00;174,00;;1143,00;3,60;395,00;;;;;1,00;;;;102,00;8,70;7,90;;;;;22,50;24,20;
8/10/1980 11:00;8;10;1980;Segre en Serós;12;155,00;;155,00;;0,00;69,50;;610,00;4,50;290,00;;;;;9,00;;;;80,60;7,50;7,50;;;;;18,00;17,90;
6/11/1980 12:00;6;11;1980;Ebro en Ribarroja;10;160,00;;160,00;;0,00;392,00;;1065,00;1,50;400,00;;;;;8,00;;;;62,80;6,40;7,80;;;;;14,00;10,50;
6/11/1980 13:00;6;11;1980;Ebro en Ascó;7;160,00;;160,00;;0,00;;;1078,00;1,30;410,00;;;;;8,00;;;;68,70;7,00;7,80;;;;;13,70;12,20;
6/11/1980 16:00;6;11;1980;Ebro en Tortosa;2;155,00;;155,00;;0,00;237,60;;1062,00;2,90;400,00;;;;;6,00;;;;84,60;8,80;7,90;;;;;13,60;12,30;
6/11/1980 17:00;6;11;1980;Ebro en Xerta;4;210,00;;210,00;;0,00;;;1073,00;0,70;390,00;;;;;8,00;;;;79,20;8,40;7,90;;;;;13,30;12,70;
12/11/1980 10:00;12;11;1980;Segre en Serós;12;150,00;;150,00;;0,00;49,30;;608,00;4,40;300,00;;;;;21,00;;;;68,00;7,20;7,70;;;;;12,00;12,40;
3/12/1980 11:00;3;12;1980;Segre en Serós;12;122,50;;122,50;;0,00;124,70;;515,00;5,60;210,00;;;;;19,00;;;;82,80;9,90;7,70;;;;;6,60;6,10;
9/12/1980 12:00;9;12;1980;Ebro en Ribarroja;10;160,00;;160,00;;0,00;453,00;;1094,00;1,30;390,00;;;;;3,00;;;;82,80;9,60;7,80;;;;;8,80;3,80;
9/12/1980 13:00;9;12;1980;Ebro en Ascó;7;160,00;;160,00;;0,00;644,00;;1108,00;1,40;370,00;;;;;6,00;;;;86,20;10,00;7,80;;;;;8,60;4,70;
9/12/1980 16:00;9;12;1980;Ebro en Xerta;4;160,00;;160,00;;0,00;644,00;;1115,00;3,60;360,00;;;;;3,00;;;;96,60;11,50;7,80;;;;;8,20;8,70;
9/12/1980 17:00;9;12;1980;Ebro en Tortosa;2;155,00;;155,00;;0,00;261,20;;1080,00;2,80;370,00;;;;;5,00;;;;94,80;11,40;7,80;;;;;8,30;9,00;
12/1/1981 13:00;12;1;1981;Ebro en Ribarroja;10;145,00;;145,00;;0,00;510,00;;615,00;2,10;255,00;;;;;13,00;;;;83,60;10,10;7,60;;;;;6,50;7,50;
12/1/1981 14:00;12;1;1981;Ebro en Ascó;7;140,00;;140,00;;0,00;;;625,00;2,30;240,00;;;;;17,00;;;;83,20;10,30;7,80;;;;;5,80;7,60;
12/1/1981 17:00;12;1;1981;Ebro en Tortosa;2;145,00;;145,00;;0,00;326,80;;684,00;3,40;255,00;;;;;17,00;;;;89,70;11,10;7,70;;;;;5,90;6,00;
12/1/1981 18:00;12;1;1981;Ebro en Xerta;4;150,00;;150,00;;0,00;;;644,00;3,30;250,00;;;;;15,00;;;;90,50;11,20;7,70;;;;;5,70;5,00;
19/1/1981 11:00;19;1;1981;Segre en Serós;12;112,50;;112,50;;0,00;114,50;;493,00;2,60;190,00;;;;;6,00;;;;79,20;9,90;7,70;;;;;6,30;9,00;
5/2/1981 12:00;5;2;1981;Ebro en Ascó;7;150,00;;150,00;;0,00;623,00;;656,00;2,80;270,00;;;;;25,00;;;;105,10;12,70;7,70;;;;;6,80;11,90;
5/2/1981 12:00;5;2;1981;Ebro en Ribarroja;10;150,00;;150,00;;0,00;520,00;;643,00;3,40;260,00;;;;;17,00;;;;100,20;12,10;7,80;;;;;6,60;11,80;
5/2/1981 16:00;5;2;1981;Ebro en Tortosa;2;147,50;;147,50;;0,00;428,00;;688,00;2,60;240,00;;;;;21,00;;;;101,90;12,00;7,70;;;;;7,70;14,50;
5/2/1981 17:00;5;2;1981;Ebro en Xerta;4;150,00;;150,00;;0,00;623,00;;679,00;3,50;280,00;;;;;18,00;;;;109,30;13,20;7,40;;;;;7,30;15,80;
9/2/1981 11:00;9;2;1981;Segre en Serós;12;115,00;;115,00;;0,00;134,90;;523,00;6,30;215,00;;;;;18,00;;;;96,20;11,90;7,60;;;;;5,90;5,00;
4/3/1981 12:00;4;3;1981;Ebro en Ribarroja;10;155,00;;155,00;;0,00;342,00;;735,00;2,80;280,00;;;;;8,00;;;;96,60;11,20;8,00;;;;;8,50;10,50;
4/3/1981 13:00;4;3;1981;Ebro en Ascó;7;155,00;;155,00;;0,00;;;731,00;2,80;265,00;;;;;10,00;;;;98,30;11,40;8,00;;;;;8,80;11,50;
4/3/1981 14:00;4;3;1981;Ebro en Tortosa;2;150,00;;150,00;;0,00;153,40;;779,00;5,70;265,00;;;;;5,00;;;;106,00;12,30;8,10;;;;;9,30;11,80;
4/3/1981 16:00;4;3;1981;Ebro en Xerta;4;155,00;;155,00;;0,00;;;756,00;3,60;275,00;;;;;6,00;;;;104,30;12,10;8,10;;;;;9,30;11,30;
9/3/1981 11:00;9;3;1981;Segre en Serós;12;115,00;;115,00;;0,00;41,20;;543,00;7,40;220,00;;;;;12,00;;;;100,90;11,20;7,80;;;;;10,50;11,60;
6/4/1981 13:00;6;4;1981;Ebro en Ribarroja;10;155,50;0,02;155,50;86,20;0,00;486,00;71,50;637,00;3,40;280,00;0,30;0,22;;15,80;7,00;4,40;;;94,60;10,40;7,70;2,90;;48,20;124,40;11,00;18,60;
6/4/1981 14:00;6;4;1981;Ebro en Ascó;7;150,00;0,01;150,00;90,20;0,00;692,00;77,50;653,00;3,50;270,00;0,32;0,22;;10,90;11,00;3,80;;;94,60;10,40;7,80;3,00;;52,80;122,40;11,40;19,50;
6/4/1981 17:00;6;4;1981;Ebro en Tortosa;2;207,50;0,01;207,50;96,20;0,00;326,80;81,50;698,00;4,30;300,00;0,32;0,36;;14,60;7,00;3,50;;;105,70;11,20;7,90;3,40;;56,10;132,60;13,00;20,80;
6/4/1981 18:00;6;4;1981;Ebro en Xerta;4;152,50;0,00;152,50;90,20;0,00;692,00;81,50;672,00;5,20;300,00;0,25;0,20;;35,30;7,00;3,90;;;108,50;11,50;7,90;3,10;;52,80;134,30;12,70;18,20;
8/4/1981 11:00;8;4;1981;Segre en Serós;12;120,00;0,00;120,00;76,20;0,00;75,80;37,00;507,00;4,90;250,00;0,42;0,57;;14,60;31,00;0,00;;;91,30;9,40;7,60;2,00;;29,40;137,40;13,80;16,00;
6/5/1981 11:00;6;5;1981;Ebro en Ribarroja;10;155,00;;155,00;;0,00;542,00;;498,00;1,70;290,00;;;;;6,00;;;;82,20;8,30;7,80;;;;;14,60;19,80;
6/5/1981 12:00;6;5;1981;Ebro en Ascó;7;150,00;;150,00;;0,00;717,00;;681,00;2,90;290,00;;;;;7,00;;;;90,10;9,10;7,80;;;;;14,50;17,10;
6/5/1981 14:00;6;5;1981;Ebro en Xerta;4;157,50;;157,50;;0,00;717,00;;756,00;3,30;295,00;;;;;5,00;;;;95,10;9,70;7,80;;;;;15,40;18,50;
6/5/1981 15:00;6;5;1981;Ebro en Tortosa;2;152,50;;152,50;;0,00;345,60;;687,00;4,70;295,00;;;;;3,00;;;;101,00;10,00;7,90;;;;;15,50;19,20;
18/5/1981 11:00;18;5;1981;Segre en Serós;12;120,00;;120,00;;0,00;55,50;;476,00;2,90;240,00;;;;;19,00;;;;82,30;7,90;7,70;;;;;16,50;18,30;
3/6/1981 12:00;3;6;1981;Ebro en Ribarroja;10;147,50;;147,50;;0,00;218,00;;632,00;2,40;280,00;;;;;5,00;;;;85,70;8,40;7,60;;;;;16,40;20,60;
3/6/1981 13:00;3;6;1981;Ebro en Ascó;7;135,00;;135,00;;0,00;;;655,00;2,70;280,00;;;;;6,00;;;;97,90;9,40;7,90;;;;;16,80;20,00;
3/6/1981 16:00;3;6;1981;Ebro en Tortosa;2;147,50;;147,50;;0,00;176,00;;682,00;5,00;290,00;;;;;5,00;;;;105,30;9,90;7,70;;;;;18,10;22,50;
3/6/1981 17:00;3;6;1981;Ebro en Xerta;4;145,00;;145,00;;0,00;;;612,00;2,80;285,00;;;;;6,00;;;;111,50;9,70;7,90;;;;;23,00;18,00;
15/6/1981 12:00;15;6;1981;Segre en Serós;12;90,00;;90,00;;0,00;77,90;;348,00;3,30;180,00;;;;;24,00;;;;95,50;8,70;7,20;;;;;20,40;28,50;
8/7/1981 12:00;8;7;1981;Ebro en Ribarroja;10;130,00;;130,00;;0,00;335,00;;563,00;3,50;270,00;;;;;18,00;;;;69,20;6,50;7,40;;;;;19,30;28,00;
8/7/1981 13:00;8;7;1981;Ebro en Ascó;7;127,50;;127,50;;0,00;;;581,00;2,80;275,00;;;;;20,00;;;;78,70;7,40;7,50;;;;;19,30;28,00;
8/7/1981 16:00;8;7;1981;Ebro en Tortosa;2;137,50;;137,50;;0,00;237,60;;600,00;2,40;275,00;;;;;25,00;;;;73,00;6,50;7,50;;;;;20,80;28,50;
8/7/1981 17:00;8;7;1981;Ebro en Xerta;4;130,00;;130,00;;0,00;;;590,00;1,80;250,00;;;;;23,00;;;;82,30;7,50;7,50;;;;;20,30;28,50;
13/7/1981 10:00;13;7;1981;Segre en Serós;12;105,00;;105,00;;0,00;180,20;;386,00;2,20;195,00;;;;;18,00;;;;97,80;9,10;7,40;;;;;19,00;23,50;
10-ag-1981 11:00:00;10;8;1981;Ebro en Ribarroja;10;135,00;;135,00;;0,00;114,00;;684,00;1,80;280,00;;;;;3,00;;;;33,70;3,00;7,00;;;;;20,50;25,70;
10-ag-1981 12:00:00;10;8;1981;Ebro en Ascó;7;135,00;;135,00;;0,00;;;670,00;3,20;300,00;;;;;5,00;;;;65,40;5,70;7,30;;;;;22,20;27,00;
