month;year;e;hr;evap;inso;n_cub;n_des;n_fog;n_gra;n_llu;n_nie;n_nub;n_tor;nt_00;nt_30;nw_55;nw_91;p_max;p_mes;p_sol;q_mar;q_max;q_med;q_min;w_med;w_rec;np_001;np_010;np_100;np_300;ta_max;ta_min;ti_max;tm_max;tm_mes;tm_min;ts_min;nv_0050;nv_0100;nv_1000;w_racha;indicativo;
1;2000;71;65;735;6,5;4;9;1;0;5;0;18;0;3;0;4;0;22,6(15);35,8;67;1024,3;1027,6(11);1018,2;1005,7(14);9;222;3;2;2;0;21,7(30);-1,1(13);8,8;13,2;8,1;2,9;6,8;0;0;0;30/20,0(22);9981A;
2;2000;90;58;1223;7,4;3;4;4;0;2;0;22;0;0;0;12;3;0,3(01);0,3;69;1025,4;1030,2(04);1019,3;1005,3(17);10;252;1;0;0;0;23,4(18);1,2(13);15,6;19,9;13,6;7,2;14,6;0;0;2;31/33,6(17);9981A;
3;2000;92;56;1356;7;5;3;3;0;6;0;23;2;0;0;3;1;36,5(23);57;58;1019,5;1024,8(08);1013,5;999,9(28);10;224;5;5;2;1;28,2(10);2,5(03);12,5;21;14,8;8,5;11,9;0;0;1;32/26,9(01);9981A;
4;2000;109;59;1254;7,4;8;0;2;1;16;0;22;5;0;0;5;0;42,0(09);75,7;55;1008,5;1016,6(07);1002,6;985,1(03);11;237;13;10;2;1;28,5(21);4,5(07);14,1;21,7;16,1;10,5;15,3;0;0;0;30/20,0(17);9981A;
5;2000;165;65;1223;7,6;9;0;3;0;11;0;22;8;0;4;1;0;35,3(10);42,9;52;1015,1;1015,9(31);1009,3;1002,2(05);9;185;7;4;1;1;33,5(29);10,3(11);21,9;26,9;20,8;14,7;18,2;0;0;2;30/16,4(27);9981A;
6;2000;183;58;1761;10,4;1;6;0;0;5;0;23;3;0;15;5;0;20,6(09);36,5;69;1017,9;1018,4(14);1012,2;999,7(10);13;260;5;3;2;0;38,0(16);12,2(10);17,6;30,2;24;17,7;20,8;0;0;0;31/21,9(10);9981A;
7;2000;188;54;2198;10,4;4;7;0;0;2;0;20;3;0;24;4;0;3,6(17);4,3;70;1013,6;1015,5(31);1007,9;996,9(10);13;282;2;1;0;0;37,4(07);16,2(13);22,2;31,6;26;20,3;23;0;0;0;31/23,1(11);9981A;
8;2000;205;57;1976;9,8;1;9;0;0;8;0;21;4;0;31;1;0;10,4(30);13,4;72;1015,9;1017,9(07);1010,2;1001,9(26);11;245;5;2;1;0;35,5(21);16,7(08);30,2;33;26,9;20,7;23,6;0;0;0;30/16,4(04);9981A;
9;2000;181;60;1558;9,1;3;4;1;0;8;0;23;7;0;19;1;0;20,3(17);23,1;73;1014,3;1016,1(25);1008,6;992,1(19);9;203;5;2;1;0;34,4(15);12,6(22);24,3;30,3;24;17,6;21,3;0;0;1;32/15,3(19);9981A;
10;2000;135;64;1279;6,1;10;1;3;0;9;0;20;3;0;1;12;0;72,2(22);191,1;55;1015,5;1020,0(17);1009,6;988,1(11);10;238;7;6;5;3;30,5(03);9,3(17);18;23,6;18,7;13,7;18,1;0;0;2;32/21,1(02);9981A;
11;2000;98;64;947;5,3;7;1;4;0;11;0;22;1;0;0;7;0;8,0(29);27,4;53;1013,3;1019,6(10);1007,3;987,9(06);8;213;7;6;0;0;23,1(27);4,8(10);12,2;17,6;13,4;9,1;13,1;0;0;2;29/22,2(26);9981A;
12;2000;101;72;653;4,2;8;0;5;0;11;0;23;1;0;0;8;2;38,9(21);70,2;45;1014,1;1025,2(11);1008;983,9(27);8;199;11;7;2;1;20,5(13);2,7(17);12,4;16,5;11,7;6,9;11,2;0;0;2;29/37,5(30);9981A;
1;2001;91;69;771;4,8;9;0;1;0;12;0;22;1;0;0;8;0;3,6(12);16,6;49;1014,3;1019,9(20);1008,2;989,1(28);9;223;9;5;0;0;19,5(04);2,1(09);11,5;15,4;11,1;6,8;10,4;0;0;0;31/23,1(30);9981A;
2;2001;82;60;954;7,2;5;3;1;0;5;0;20;0;0;0;9;0;7,9(14);11,2;68;1019;1030,8(11);1012,9;990,1(28);9;244;3;3;0;0;22,5(23);1,7(27);11,8;17,4;11,8;6,2;10,5;0;0;1;32/21,1(08);9981A;
3;2001;110;57;1317;6,7;12;1;1;0;10;0;18;2;0;1;5;0;15,0(07);17,9;56;1010,3;1016,3(31);1004,4;982,7(02);9;209;7;2;1;0;32,5(23);5,5(15);16,3;23,2;17;10,8;14,4;0;0;1;31/20,3(30);9981A;
4;2001;95;47;1886;9,5;7;0;1;0;2;0;23;1;0;0;9;2;37,1(29);48,6;71;1015,5;1019,2(09);1009,6;996,5(30);14;324;2;2;2;1;28,9(24);7,5(21);16,8;23,4;17,3;11,1;15,6;0;0;1;30/28,1(08);9981A;61148
5;2001;137;57;1515;9,5;9;3;1;1;9;0;19;4;0;7;2;0;26,2(10);55,3;65;1014,7;1018,4(28);1008,8;998,5(04);10;210;6;4;2;0;35,4(31);5,8(02);13,4;26,2;19,7;13,1;16,5;0;0;1;29/16,1(05);9981A;66942
6;2001;171;51;2078;12;0;11;0;0;4;0;19;1;0;24;2;0;2,0(09);2,3;80;1016;1017,0(18);1010,2;1001,5(09);12;247;2;1;0;0;35,5(25);13,9(19);26,1;31,3;24,7;18;20,8;0;0;0;31/18,6(18);9981A;78006
7;2001;202;60;1718;10,4;2;8;0;0;12;0;21;10;0;24;1;0;42,6(18);90,9;70;1014,6;1016,5(01);1008,9;998,7(04);10;215;8;6;3;2;36,7(31);13,4(21);22,4;31,3;25,2;19,1;22,7;0;0;0;32/17,8(19);9981A;70793
8;2001;218;59;1929;9,5;3;2;0;0;7;0;26;5;0;30;0;0;0,8(16);1,5;69;1015,4;1017,1(11);1009,7;1002,7(29);10;219;3;0;0;0;36,5(29);18,7(17);28,6;33,6;27,7;21,7;24,9;0;0;0;29/11,9(31);9981A;62079
9;2001;159;58;1611;8,1;3;2;3;0;9;0;25;3;0;11;2;0;34,0(22);51,7;64;1014,8;1015,9(26);1009;995,7(23);11;234;9;5;1;1;33,0(08);11,6(26);22,4;28,5;22,8;17;20;0;0;3;29/16,4(17);9981A;48307
10;2001;173;74;810;6;11;4;8;0;10;0;16;3;0;0;0;0;20,4(17);30,7;54;1018,4;1022,7(24);1012,6;997,9(20);6;144;8;4;1;0;29,6(01);10,3(25);20,3;25,9;20,3;14,7;18,9;0;0;6;29/10,6(23);9981A;32444
11;2001;87;61;1083;5,9;8;3;0;0;12;0;19;3;0;0;9;0;30,6(15);62,2;60;1019,4;1024,3(21);1013,4;999,9(11);13;306;7;5;3;1;22,5(01);3,3(15);8,2;16,6;12,3;8,1;14,7;0;0;0;29/23,6(13);9981A;24083
12;2001;74;68;651;5,9;7;10;3;0;9;1;14;0;11;0;2;0;18,8(18);24,7;63;1021,6;1024,7(10);1015,4;1004,9(23);9;220;8;3;1;0;20,1(01);-2,3(25);1,4;12,9;7,8;2,7;10,2;0;0;1;32/17,2(27);9981A;
1;2002;92;74;563;5,2;8;1;7;0;12;0;22;0;0;0;3;0;19,6(03);39,2;53;1026,2;1028,8(10);1020;1004,5(23);7;173;10;4;2;0;23,4(27);1,3(19);9,7;15;10,5;5,9;12,5;0;0;1;32/20,3(15);9981A;
2;2002;85;58;1121;7,8;2;4;2;0;1;0;22;0;0;0;11;2;5,4(05);5,5;73;1021;1024,8(19);1014,9;1003,1(06);12;286;2;1;0;0;25,0(27);2,3(02);12;18,9;13,1;7,2;13;0;0;2;30/35,6(06);9981A;
3;2002;111;68;949;5,3;16;2;2;0;13;0;13;2;0;0;1;0;13,7(16);44;44;1016,5;1020,4(21);1010,6;996,1(05);9;196;11;9;1;0;29,7(20);5,3(04);10,5;19,8;14,4;9,1;14,9;0;0;2;31/15,8(06);9981A;
4;2002;115;62;1183;7,7;;;4;1;9;0;;0;0;2;4;1;20,3(11);74,1;58;1012,5;1023,4(22);1006,5;984,5(11);10;223;8;8;2;0;31,6(25);4,9(17);12,6;22,2;16,1;9,9;14,7;0;0;3;31/25,6(03);9981A;
5;2002;132;60;1486;8,4;11;4;4;0;8;0;16;3;0;1;5;0;88,0(08);224,9;58;1014,1;1019,5(15);1008,2;996,5(08);12;253;6;6;4;2;30,4(24);8,8(07);12,2;23,8;18,6;13,3;17,2;0;0;1;28/24,7(03);9981A;
6;2002;169;55;1920;10,4;6;9;0;1;6;0;15;4;0;18;2;0;22,3(04);37,9;69;1016;1015,5(25);1010,2;993,9(04);12;249;5;3;1;0;34,0(26);13,1(08);21,4;29,7;23,7;17,6;21,4;0;0;0;28/18,3(06);9981A;
7;2002;190;55;2106;10,2;4;5;0;0;11;0;22;5;0;25;5;0;1,7(08);3,8;69;1014,8;1014,2(06);1009,1;1003,8(31);11;263;5;2;0;0;35,5(25);15,5(01);27,3;31,9;26;20,1;22,8;0;0;0;30/18,9(14);9981A;
8;2002;197;61;1722;8,1;8;4;0;0;15;0;19;8;0;19;2;0;7,8(22);25,1;59;1014,2;1014,1(31);1008,5;999,7(10);10;238;9;4;0;0;36,9(15);15,9(28);21,9;30,4;25,2;20;23,4;0;0;0;31/23,9(10);9981A;
9;2002;184;67;1076;7,5;9;4;0;0;12;0;17;10;0;6;2;0;40,3(16);83,7;60;1014,8;1017,2(30);1009;1000,1(23);9;189;10;8;4;1;32,0(01);11,3(26);22;28;22,7;17,3;20,8;0;0;0;24/15,8(02);9981A;
10;2002;153;70;1014;6,9;7;2;6;0;5;0;22;3;0;0;2;0;21,4(09);40,9;62;1015,2;1023,4(28);1009,4;990,5(09);8;176;5;4;1;0;28,0(27);9,2(19);18,4;24,7;19,1;13,5;17,1;0;0;5;34/19,4(11);9981A;
11;2002;108;62;1153;5,2;7;1;1;0;11;0;22;1;0;0;8;1;5,6(19);13,3;52;1011,9;1018,0(02);1006;982,7(14);11;241;8;3;0;0;28,0(03);5,4(16);13,8;20,1;15,1;10,1;18;0;0;0;30/31,1(07);9981A;
12;2002;99;70;834;4,3;10;0;3;0;12;0;21;0;0;0;11;2;13,0(19);28,7;46;1016,2;1019,2(13);1010,2;994,1(27);10;244;8;5;1;0;21,9(25);3,0(09);10,5;16,5;12,3;8,1;14;0;0;1;30/30,3(05);9981A;
