month;year;Qmin;Qmean;Qmax
2;1997;323;666;1110
3;1997;134;346;600
4;1997;115;198;502
5;1997;129;250;428
6;1997;132;328;1039
7;1997;127;182;365
8;1997;129;190;337
9;1997;132;194;317
10;1997;108;172;295
11;1997;120;289;484
12;1997;103;789;2354
1;1998;170;636;925
2;1998;134;436;735
3;1998;127;306;502
4;1998;101;256;487
5;1998;139;383;784
6;1998;105;250;431
7;1998;105;157;300
8;1998;101;134;289
9;1998;96;110;187
10;1998;83;135;323
11;1998;83;132;264
12;1998;78;252;535
1;1999;125;280;431
2;1999;134;345;463
3;1999;173;357;460
4;1999;93;162;387
5;1999;96;248;454
6;1999;93;145;381
7;1999;91;124;269
8;1999;93;131;241
9;1999;93;137;342
10;1999;93;173;359
11;1999;93;281;445
12;1999;125;352;597
1;2000;103;305;457
2;2000;96;161;419
3;2000;98;121;241
4;2000;91;276;425
5;2000;91;473;891
6;2000;91;242;945
7;2000;87;112;250
8;2000;87;104;208
9;2000;87;106;168
10;2000;87;248;2490
11;2000;170;326;677
12;2000;236;483;703
1;2001;499;792;1285
2;2001;311;693;1651
3;2001;236;936;2384
4;2001;122;326;591
5;2001;165;423;784
6;2001;107;169;407
7;2001;102;136;317
8;2001;102;120;225
9;2001;101;129;211
10;2001;102;120;203
11;2001;99;129;297
12;2001;99;120;206
1;2002;96;110;208
2;2002;56;98;163
3;2002;90;151;317
4;2002;81;159;306
5;2002;90;184;541
6;2002;94;126;281
7;2002;90;121;258
8;2002;93;125;189
9;2002;104;143;189
10;2002;82;116;267
11;2002;70;109;159
12;2002;107;560;1474
1;2003;207;533;817
2;2003;575;1079;2475
3;2003;217;811;1944
4;2003;183;360;645
5;2003;119;605;1502
6;2003;94;143;355
7;2003;87;115;171
8;2003;85;107;154
9;2003;78;138;264
10;2003;96;184;337
11;2003;234;492;1074
12;2003;331;668;1207
1;2004;328;714;1011
2;2004;151;500;846
3;2004;146;653;859
4;2004;463;686;925
5;2004;114;694;1053
6;2004;99;222;826
7;2004;92;143;404
8;2004;103;156;267
9;2004;111;189;493
10;2004;122;166;311
11;2004;111;190;328
12;2004;83;181;337
1;2005;70;240;514
2;2005;140;316;593
3;2005;108;369;621
4;2005;79;279;653
5;2005;87;156;330
6;2005;96;123;380
7;2005;94;119;294
8;2005;88;108;140
9;2005;88;106;254
10;2005;80;106;297
11;2005;88;120;245
12;2005;95;219;398
1;2006;92;389;481
2;2006;104;213;355
3;2006;99;471;1289
4;2006;92;208;568
5;2006;80;143;969
6;2006;103;120;137
7;2006;97;118;135
8;2006;90;109;139
9;2006;91;114;344
10;2006;86;96;137
11;2006;79;108;898
12;2006;87;120;214
1;2007;84;103;156
2;2007;88;265;483
3;2007;182;510;1089
4;2007;432;984;1845
5;2007;127;383;759
6;2007;117;134;178
7;2007;118;121;125
8;2007;119;124;128
9;2007;120;127;162
10;2007;121;127;136
11;2007;117;132;761
12;2007;112;118;142
1;2008;117;120;125
2;2008;116;119;123
3;2008;114;119;219
4;2008;126;262;449
5;2008;144;600;1784
6;2008;93;722;1592
7;2008;85;108;171
8;2008;101;116;217
