"","Year2","spp","model","fit","se","upper","lower"
"1",1965,"Anguilla anguilla","modS_fit",9755.52110152985,0.256851281726998,16306.0459304476,5836.49723350079
"2",1966,"Anguilla anguilla","modS_fit",9369.95279386321,0.242069658877143,15205.3505531021,5774.02112845817
"3",1967,"Anguilla anguilla","modS_fit",9016.91230870793,0.22683520790714,14193.3333955042,5728.3729845085
"4",1968,"Anguilla anguilla","modS_fit",8689.30785969645,0.211860809489546,13274.1018445524,5688.07381205749
"5",1969,"Anguilla anguilla","modS_fit",8369.8151764985,0.198424913970861,12447.0249004922,5628.15665982754
"6",1970,"Anguilla anguilla","modS_fit",8047.78126997342,0.186955170854112,11696.7003014747,5537.18413740747
"7",1971,"Anguilla anguilla","modS_fit",7716.20399518206,0.17777934281979,11010.8507485244,5407.37545672779
"8",1972,"Anguilla anguilla","modS_fit",7370.95648792271,0.170911586820286,10374.7052148429,5236.87164326555
"9",1973,"Anguilla anguilla","modS_fit",7012.6314392365,0.166181770256846,9777.42888950283,5029.64534524667
"10",1974,"Anguilla anguilla","modS_fit",6641.5661982158,0.163340762042944,9207.60094834881,4790.65087776126
"11",1975,"Anguilla anguilla","modS_fit",6257.75764846761,0.161929750367771,8651.05620883583,4526.56066977798
"12",1976,"Anguilla anguilla","modS_fit",5864.28493315068,0.161619488652889,8102.06956541815,4244.57448797567
"13",1977,"Anguilla anguilla","modS_fit",5464.80143978462,0.162146724225651,7558.11058511667,3951.2593048162
"14",1978,"Anguilla anguilla","modS_fit",5063.28960891658,0.163172703887985,7017.18261213686,3653.44655836963
"15",1979,"Anguilla anguilla","modS_fit",4667.28674541316,0.164546629333519,6486.16316983033,3358.46709272336
"16",1980,"Anguilla anguilla","modS_fit",4285.77929446149,0.166181773253876,5975.48907310572,3073.87461279186
"17",1981,"Anguilla anguilla","modS_fit",3926.22791599214,0.167919045629153,5493.23446846436,2806.22750345215
"18",1982,"Anguilla anguilla","modS_fit",3594.99471123409,0.169712094386555,5047.87169944756,2560.28436206402
"19",1983,"Anguilla anguilla","modS_fit",3296.47761970512,0.171520700231164,4645.48560734887,2339.20963613065
"20",1984,"Anguilla anguilla","modS_fit",3032.1851325038,0.173210557091921,4287.5035463675,2144.40561467678
"21",1985,"Anguilla anguilla","modS_fit",2801.96721410538,0.17469689970562,3973.77111308427,1975.71023732865
"22",1986,"Anguilla anguilla","modS_fit",2604.27693317176,0.175868230198677,3702.06779935241,1832.01894515193
"23",1987,"Anguilla anguilla","modS_fit",2436.30821853098,0.176310529941626,3466.35957082946,1712.34334303676
"24",1988,"Anguilla anguilla","modS_fit",2295.60705334423,0.176310542050105,3266.17117341807,1613.45240759347
"25",1989,"Anguilla anguilla","modS_fit",2180.18785230471,0.175868267551805,3099.21104960831,1533.68679810875
"26",1990,"Anguilla anguilla","modS_fit",2088.40954852907,0.17469696510421,2961.79861774422,1472.56954482246
"27",1991,"Anguilla anguilla","modS_fit",2018.57581507537,0.173210653225842,2854.26260322437,1427.56602584646
"28",1992,"Anguilla anguilla","modS_fit",1968.59369143134,0.171520831806635,2774.19631552518,1396.93110406631
"29",1993,"Anguilla anguilla","modS_fit",1936.60995687466,0.169712266990634,2719.27019483495,1379.21495708289
"30",1994,"Anguilla anguilla","modS_fit",1920.93587370571,0.167919261766461,2687.60651199014,1372.9668440776
"31",1995,"Anguilla anguilla","modS_fit",1919.42013061646,0.166182035335341,2676.17141272172,1376.65831878416
"32",1996,"Anguilla anguilla","modS_fit",1929.75413014947,0.164546937346204,2681.79534688148,1388.60372293483
"33",1997,"Anguilla anguilla","modS_fit",1949.81890567532,0.163173049485972,2702.24416054239,1406.90238892617
"34",1998,"Anguilla anguilla","modS_fit",1977.62265410372,0.162147094800629,2735.15917423282,1429.89534169296
"35",1999,"Anguilla anguilla","modS_fit",2011.51530465567,0.161619866111052,2779.10255371464,1455.93541175935
"36",2000,"Anguilla anguilla","modS_fit",2049.93987189937,0.161930104899206,2833.94765783333,1482.82677938222
"37",2001,"Anguilla anguilla","modS_fit",2091.42900955787,0.163341062302054,2899.47502159831,1508.57492112798
"38",2002,"Anguilla anguilla","modS_fit",2136.06984287085,0.166181989202578,2978.23724491059,1532.04530009136
"39",2003,"Anguilla anguilla","modS_fit",2185.52024333256,0.170911704046835,3076.14535763693,1552.75456088515
"40",2004,"Anguilla anguilla","modS_fit",2240.98890974169,0.177779365664676,3197.84126457454,1570.44420847868
"41",2005,"Anguilla anguilla","modS_fit",2303.35122682437,0.186955145477334,3347.70624573713,1584.79462792444
"42",2006,"Anguilla anguilla","modS_fit",2373.85161956996,0.198424937090662,3530.23226463667,1596.26083761797
"43",2007,"Anguilla anguilla","modS_fit",2452.52132988035,0.211861041360211,3746.56227302975,1605.43464519916
"44",2008,"Anguilla anguilla","modS_fit",2539.32723204793,0.226835875171043,3997.10731004588,1613.21232862927
"45",2009,"Anguilla anguilla","modS_fit",2636.707642217,0.242071097145553,4278.80270204511,1624.80667482111
"46",2010,"Anguilla anguilla","modS_fit",2744.90305882806,0.25685391143979,4588.04304667612,1642.2018550637
"47",1965,"Dicentrarchus labrax","modS_fit",1465.43770407681,0.256851281726998,2449.43291723687,876.736672156939
"48",1966,"Dicentrarchus labrax","modS_fit",1473.66508597971,0.242069658877143,2391.43085596595,908.112722647958
"49",1967,"Dicentrarchus labrax","modS_fit",1487.57134359446,0.22683520790714,2341.55499203915,945.042294461059
"50",1968,"Dicentrarchus labrax","modS_fit",1507.79029434521,0.211860809489546,2303.35514065503,987.008703779434
"51",1969,"Dicentrarchus labrax","modS_fit",1532.44183108276,0.198424913970861,2278.94418548234,1030.46752114961
"52",1970,"Dicentrarchus labrax","modS_fit",1561.02581005012,0.186955170854112,2268.80558137775,1074.04600889727
"53",1971,"Dicentrarchus labrax","modS_fit",1592.89877589414,0.177779342819789,2273.03097349796,1116.27449860059
"54",1972,"Dicentrarchus labrax","modS_fit",1626.7365976577,0.170911586820286,2289.65029037247,1155.75377134491
"55",1973,"Dicentrarchus labrax","modS_fit",1661.64597085477,0.166181770256846,2316.76589028472,1191.77658132672
"56",1974,"Dicentrarchus labrax","modS_fit",1695.55128703842,0.163340762042944,2350.64428668994,1223.02391019184
"57",1975,"Dicentrarchus labrax","modS_fit",1724.62143777726,0.161929750367771,2384.20818371384,1247.50813454883
"58",1976,"Dicentrarchus labrax","modS_fit",1745.36929323474,0.161619488652889,2411.39432894763,1263.29979845984
"59",1977,"Dicentrarchus labrax","modS_fit",1755.32198280961,0.162146724225651,2427.70351397877,1269.1645604965
"60",1978,"Dicentrarchus labrax","modS_fit",1753.36363620562,0.163172703887985,2429.97611652868,1265.14989997512
"61",1979,"Dicentrarchus labrax","modS_fit",1740.91038266981,0.164546629333519,2419.35613172799,1252.71716748987
"62",1980,"Dicentrarchus labrax","modS_fit",1721.0396321135,0.166181773253876,2399.57608861618,1234.3752837667
"63",1981,"Dicentrarchus labrax","modS_fit",1697.0381571271,0.167919045629153,2374.347261161,1212.93904807215
"64",1982,"Dicentrarchus labrax","modS_fit",1672.26775786223,0.169712094386555,2348.09610774465,1190.95613027168
"65",1983,"Dicentrarchus labrax","modS_fit",1649.43967057376,0.171520700231164,2324.43508915013,1170.45695944007
"66",1984,"Dicentrarchus labrax","modS_fit",1630.22349831484,0.17321055709192,2305.13267658723,1152.9178695226
"67",1985,"Dicentrarchus labrax","modS_fit",1616.14569901813,0.17469689970562,2292.03006407915,1139.56922354078
"68",1986,"Dicentrarchus labrax","modS_fit",1608.29610170218,0.175868230198677,2286.24733955779,1131.38080294092
"69",1987,"Dicentrarchus labrax","modS_fit",1606.53285217475,0.176310529941626,2285.76191043091,1129.14113816437
"70",1988,"Dicentrarchus labrax","modS_fit",1610.15504954025,0.176310542050105,2290.91559893953,1131.68694855458
"71",1989,"Dicentrarchus labrax","modS_fit",1618.42855577874,0.175868267551805,2300.65113782226,1138.50854964453
"72",1990,"Dicentrarchus labrax","modS_fit",1630.5573221649,0.17469696510421,2312.46903958192,1149.73093060146
"73",1991,"Dicentrarchus labrax","modS_fit",1645.40476149736,0.173210653225842,2326.59939886077,1163.6540568539
"74",1992,"Dicentrarchus labrax","modS_fit",1661.74248805587,0.171520831806636,2341.7731692335,1179.18683708976
"75",1993,"Dicentrarchus labrax","modS_fit",1677.98021194992,0.169712266990634,2356.11799974525,1195.02401492622
"76",1994,"Dicentrarchus labrax","modS_fit",1692.21114992974,0.167919261766461,2367.59475861101,1209.48847581775
"77",1995,"Dicentrarchus labrax","modS_fit",1703.46116417844,0.166182035335341,2375.06838525856,1221.76689979741
"78",1996,"Dicentrarchus labrax","modS_fit",1712.19229132366,0.164546937346204,2379.44785198231,1232.05156188897
"79",1997,"Dicentrarchus labrax","modS_fit",1719.2904447804,0.163173049485971,2382.75593244135,1240.56332974252
"80",1998,"Dicentrarchus labrax","modS_fit",1725.3058000143,0.162147094800629,2386.1913077674,1247.46079405849
"81",1999,"Dicentrarchus labrax","modS_fit",1730.50643146691,0.161619866111052,2390.86167118801,1252.5411007406
"82",2000,"Dicentrarchus labrax","modS_fit",1735.18349764106,0.161930104899206,2398.81143659824,1255.14733027769
"83",2001,"Dicentrarchus labrax","modS_fit",1739.80826960159,0.163341062302054,2412.00184038109,1254.94631235266
"84",2002,"Dicentrarchus labrax","modS_fit",1744.62846248892,0.166181989202577,2432.4660932118,1251.29327829913
"85",2003,"Dicentrarchus labrax","modS_fit",1749.42230064462,0.170911704046835,2462.33239206633,1242.91846050258
"86",2004,"Dicentrarchus labrax","modS_fit",1753.9097654906,0.177779365664676,2502.79017359019,1229.10801630268
"87",2005,"Dicentrarchus labrax","modS_fit",1757.67618863091,0.186955145477334,2554.61845598584,1209.34912093864
"88",2006,"Dicentrarchus labrax","modS_fit",1759.98602843578,0.198424937090662,2617.33269749155,1183.47614854536
"89",2007,"Dicentrarchus labrax","modS_fit",1760.3915363632,0.211861041360211,2689.23920682925,1152.36247985282
"90",2008,"Dicentrarchus labrax","modS_fit",1758.46819704629,0.226835875171043,2767.97176676923,1117.13942936363
"91",2009,"Dicentrarchus labrax","modS_fit",1753.32233884599,0.242071097145553,2845.26059730397,1080.44206102221
"92",2010,"Dicentrarchus labrax","modS_fit",1745.43465504533,0.25685391143979,2917.45433659407,1044.24672455708
"93",1965,"Mullet ind.","modS_fit",33560.8938645804,0.256851281726998,56095.9759224861,20078.6879712371
"94",1966,"Mullet ind.","modS_fit",31528.3536327041,0.242069658877144,51163.5095601996,19428.6336362296
"95",1967,"Mullet ind.","modS_fit",29556.4029708085,0.226835207907141,46524.1167901155,18776.9487492651
"96",1968,"Mullet ind.","modS_fit",27618.5602100735,0.211860809489547,42191.1142921832,18079.2776126981
"97",1969,"Mullet ind.","modS_fit",25703.8171865593,0.198424913970861,38224.9841617947,17284.1462841051
"98",1970,"Mullet ind.","modS_fit",23792.4101265819,0.186955170854112,34580.0514905546,16370.0964929477
"99",1971,"Mullet ind.","modS_fit",21881.069070286,0.17777934281979,31223.7968179052,15333.8553427965
"100",1972,"Mullet ind.","modS_fit",19991.5556166209,0.170911586820287,28138.3422420704,14203.4769686929
"101",1973,"Mullet ind.","modS_fit",18152.4615787183,0.166181770256847,25309.2442962715,13019.4271116735
"102",1974,"Mullet ind.","modS_fit",16391.2873146351,0.163340762042944,22724.2231905235,11823.2556324725
"103",1975,"Mullet ind.","modS_fit",14732.6916239847,0.161929750367771,20367.254615197,10656.9199721928
"104",1976,"Mullet ind.","modS_fit",13195.5969210958,0.161619488652889,18230.9770808657,9550.98442237551
"105",1977,"Mullet ind.","modS_fit",11793.0543600736,0.162146724225652,16310.4204190887,8526.8268730145
"106",1978,"Mullet ind.","modS_fit",10531.4162262741,0.163172703887985,14595.4263990837,7599.00565412694
"107",1979,"Mullet ind.","modS_fit",9410.47605428675,0.164546629333519,13077.808697713,6771.5518413869
"108",1980,"Mullet ind.","modS_fit",8425.49200159371,0.166181773253876,11747.3233995333,6042.98639396782
"109",1981,"Mullet ind.","modS_fit",7567.06645471734,0.167919045629153,10587.1770981257,5408.47614046673
"110",1982,"Mullet ind.","modS_fit",6822.28368382333,0.169712094386556,9579.43349000165,4858.69594597018
"111",1983,"Mullet ind.","modS_fit",6178.1323272527,0.171520700231164,8706.39152378551,4384.05726973889
"112",1984,"Mullet ind.","modS_fit",5622.20834253764,0.173210557091921,7949.79104298372,3976.10785943831
"113",1985,"Mullet ind.","modS_fit",5142.69387003552,0.17469689970562,7293.4073751136,3626.19265326434
"114",1986,"Mullet ind.","modS_fit",4729.73220322757,0.175868230198677,6723.47439940025,3327.20337512453
"115",1987,"Mullet ind.","modS_fit",4374.80101162366,0.176310529941626,6224.43139245327,3074.80036080213
"116",1988,"Mullet ind.","modS_fit",4069.67482396027,0.176310542050105,5790.30046794821,2860.34434041122
"117",1989,"Mullet ind.","modS_fit",3807.29744952507,0.175868267551805,5412.20258256191,2678.30216035605
"118",1990,"Mullet ind.","modS_fit",3582.19221172886,0.17469696510421,5080.29277526786,2525.85856945899
"119",1991,"Mullet ind.","modS_fit",3390.54044834997,0.173210653225842,4794.21814834515,2397.83926725681
"120",1992,"Mullet ind.","modS_fit",3227.17395486289,0.171520831806636,4547.82220125373,2290.03054078815
"121",1993,"Mullet ind.","modS_fit",3087.50783564846,0.169712266990635,4335.29116381675,2198.86145473979
"122",1994,"Mullet ind.","modS_fit",2967.34830544017,0.167919261766462,4151.65583516283,2120.87810632629
"123",1995,"Mullet ind.","modS_fit",2861.18216986076,0.166182035335342,3989.23289770399,2052.11468446498
"124",1996,"Mullet ind.","modS_fit",2765.79607809996,0.164546937346204,3843.64978770485,1990.19899526303
"125",1997,"Mullet ind.","modS_fit",2680.37253284136,0.163173049485972,3714.71473779775,1934.037314281
"126",1998,"Mullet ind.","modS_fit",2602.06724008171,0.162147094800629,3598.79983621328,1881.39219463529
"127",1999,"Mullet ind.","modS_fit",2528.39816881481,0.161619866111052,3493.22612236525,1830.05539181573
"128",2000,"Mullet ind.","modS_fit",2460.61433927168,0.161930104899206,3401.68623441089,1779.8887108934
"129",2001,"Mullet ind.","modS_fit",2401.38355040406,0.163341062302055,3329.18382113556,1732.14915906453
"130",2002,"Mullet ind.","modS_fit",2354.79191297769,0.166181989202578,3283.19273016787,1688.91850377044
"131",2003,"Mullet ind.","modS_fit",2326.10798437485,0.170911704046835,3274.0242508969,1652.63844746727
"132",2004,"Mullet ind.","modS_fit",2317.84891529569,0.177779365664676,3307.51878073162,1624.30630037089
