"","Year","chla_breakpoinnt","flow_breakpoinnt","TOC_breakpoinnt","PO4_breakpoinnt"
"1",1965,0,0,0,0
"2",1965,0,0,0,0
"3",1965,0,0,0,0
"4",1965,0,0,0,0
"5",1966,0,0,0,0
"6",1966,0,0,0,0
"7",1966,0,0,0,0
"8",1966,0,0,0,0
"9",1967,0,0,0,0
"10",1967,0,0,0,0
"11",1967,0,0,0,0
"12",1967,0,0,0,0
"13",1968,0,0,0,0
"14",1968,0,0,0,0
"15",1968,0,0,0,0
"16",1968,0,0,0,0
"17",1969,0,0,0,0
"18",1969,0,0,0,0
"19",1969,0,0,0,0
"20",1969,0,0,0,0
"21",1970,0,0,0,0
"22",1970,0,0,0,0
"23",1970,0,0,0,0
"24",1970,0,0,0,0
"25",1971,0,0,0,0
"26",1971,0,0,0,0
"27",1971,0,0,0,0
"28",1971,0,0,0,0
"29",1972,0,0,0,0
"30",1972,0,0,0,0
"31",1972,0,0,0,0
"32",1972,0,0,0,0
"33",1973,0,0,0,0
"34",1973,0,0,0,0
"35",1973,0,0,0,0
"36",1973,0,0,0,0
"37",1974,0,0,0,0
"38",1974,0,0,0,0
"39",1974,0,0,0,0
"40",1974,0,0,0,0
"41",1975,0,0,0,0
"42",1975,0,0,0,0
"43",1975,0,0,0,0
"44",1975,0,0,0,0
"45",1976,0,0,0,0
"46",1976,0,0,0,0
"47",1976,0,0,0,0
"48",1976,0,0,0,0
"49",1977,0,0,0,0
"50",1977,0,0,0,0
"51",1977,0,0,0,0
"52",1977,0,0,0,0
"53",1978,0,0,0,0
"54",1978,0,0,0,0
"55",1978,0,0,0,0
"56",1978,0,0,0,0
"57",1979,0,1,0,0
"58",1979,0,1,0,0
"59",1979,0,1,0,0
"60",1980,0,0,0,0
"61",1980,0,0,0,0
"62",1980,0,0,0,0
"63",1981,0,0,0,0
"64",1981,0,0,0,0
"65",1981,0,0,0,0
"66",1982,0,0,0,0
"67",1982,0,0,0,0
"68",1982,0,0,0,0
"69",1983,0,0,0,0
"70",1983,0,0,0,0
"71",1983,0,0,0,0
"72",1983,0,0,0,0
"73",1984,0,0,0,0
"74",1984,0,0,0,0
"75",1984,0,0,0,0
"76",1984,0,0,0,0
"77",1985,0,0,0,0
"78",1985,0,0,0,0
"79",1986,0,0,0,0
"80",1986,0,0,0,0
"81",1986,0,0,0,0
"82",1989,0,0,0,0
"83",1989,0,0,0,0
"84",1989,0,0,0,0
"85",1990,0,0,0,0
"86",1990,0,0,0,0
"87",1990,0,0,0,0
"88",1990,0,0,0,0
"89",1991,0,0,0,0
"90",1991,0,0,0,0
"91",1991,0,0,0,0
"92",1992,0,0,0,0
"93",1992,0,0,0,0
"94",1992,0,0,0,0
"95",1992,0,0,0,0
"96",1993,0,0,0,0
"97",1993,0,0,0,0
"98",1993,0,0,0,0
"99",1993,0,0,0,0
"100",1994,0,0,0,0
"101",1994,0,0,0,0
"102",1994,0,0,0,0
"103",1994,0,0,0,0
"104",1995,1,0,0,1
"105",1995,1,0,0,1
"106",1995,1,0,0,1
"107",1996,0,0,1,0
"108",1996,0,0,1,0
"109",1996,0,0,1,0
"110",1996,0,0,1,0
"111",1997,0,0,0,0
"112",1997,0,0,0,0
"113",1997,0,0,0,0
"114",1997,0,0,0,0
"115",1998,0,0,0,0
"116",1998,0,0,0,0
"117",1998,0,0,0,0
"118",1998,0,0,0,0
"119",1999,0,0,1,0
"120",1999,0,0,1,0
"121",1999,0,0,1,0
"122",2000,0,0,0,0
"123",2000,0,0,0,0
"124",2000,0,0,0,0
"125",2000,0,0,0,0
"126",2001,1,0,0,0
"127",2001,1,0,0,0
"128",2001,1,0,0,0
"129",2001,1,0,0,0
"130",2002,0,0,0,0
"131",2002,0,0,0,0
"132",2002,0,0,0,0
"133",2002,0,0,0,0
"134",2003,0,0,0,0
"135",2003,0,0,0,0
"136",2003,0,0,0,0
"137",2003,0,0,0,0
"138",2004,0,0,0,0
"139",2004,0,0,0,0
"140",2004,0,0,0,0
"141",2004,0,0,0,0
"142",2005,0,0,0,0
"143",2005,0,0,0,0
"144",2005,0,0,0,0
"145",2005,0,0,0,0
"146",2006,0,0,0,0
"147",2006,0,0,0,0
"148",2006,0,0,0,0
"149",2006,0,0,0,0
"150",2007,0,0,0,0
"151",2007,0,0,0,0
"152",2007,0,0,0,0
"153",2007,0,0,0,0
"154",2008,0,0,0,0
"155",2008,0,0,0,0
"156",2009,0,0,0,0
"157",2009,0,0,0,0
"158",2009,0,0,0,0
"159",2009,0,0,0,0
"160",2010,0,0,0,0
"161",2010,0,0,0,0
"162",2010,0,0,0,0
"163",2010,0,0,0,0
