"","Name","commonName","Stage","Group","Order","Family","Species","Lagoon","Year","Year2","Kgs"
"1","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1965-66",1965,6130
"2","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1965-66",1965,14598
"3","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1965-66",1965,1104
"4","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1965-66",1965,8830
"5","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1966-67",1966,8540
"6","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1966-67",1966,16348
"7","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1966-67",1966,1015
"8","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1966-67",1966,10123
"9","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1967-68",1967,9110
"10","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1967-68",1967,22891
"11","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1967-68",1967,1236
"12","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1967-68",1967,12090
"13","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1968-69",1968,15383
"14","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1968-69",1968,19108
"15","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1968-69",1968,1215
"16","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1968-69",1968,16340
"17","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1969-70",1969,25451
"18","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1969-70",1969,30032
"19","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1969-70",1969,1354
"20","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1969-70",1969,25027
